x,y,a1g_c center,a1g_c height,a1g_c width,a1g_c confidence,a1g_d center,a1g_d height,a1g_d width,a1g_d confidence,eg center,eg height,eg width,eg confidence
18,1,596.0592203616404,1.0674541154309503,51.48657700082777,0.96,544.654165463869,3.4774902975807214,66.66240317376845,1.0,482.3646447802861,4.090497099552364,40.01575699931548,1.0
19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.3859795747854,2.7584285995456903,57.07115468700206,1.0
20,1,0.0,0.0,0.0,0.0,544.1312352138272,2.1428278711331825,75.0,1.0,489.3579072507096,3.0562740463562297,47.981509986047,1.0
21,1,596.2331069818828,0.29630315125793977,74.34206897859461,0.92,543.2733781618634,0.44055966206432323,75.0,1.0,469.0612705025148,1.1105375600799017,48.03459091156825,1.0
22,1,605.8660300188894,0.7070587625781659,54.68361878287713,1.0,549.3118380031999,1.9871265373014961,69.04595144432503,1.0,479.25154429871446,1.2063968614493077,58.51437437680946,1.0
23,1,0.0,0.0,0.0,0.0,539.6175336169874,4.031060331627954,57.15967239417472,1.0,486.3733824667071,4.414919935947998,65.0,1.0
24,1,596.7717260832111,2.226635545919162,71.2631309101985,1.0,0.0,0.0,0.0,0.0,482.56818319593464,1.9788102658067974,60.3898197654633,1.0
25,1,599.7764444776998,1.0225695107345505,70.73626608814203,1.0,538.2790322782461,1.4479148841674734,65.6715073920056,1.0,472.96089636259296,5.429232604824147,65.0,1.0
26,1,599.1940696612268,1.2714102357585355,52.4077850776945,1.0,539.1833287388963,3.489314814144804,73.92907850842815,1.0,481.58680997189356,4.261945319862388,53.37588750477655,1.0
27,1,596.9808901727279,2.4323032177735726,67.0548763671065,1.0,544.0986029681143,1.953858266606173,75.0,1.0,473.34282917481374,2.7889676540491597,65.0,1.0
28,1,0.0,0.0,0.0,0.0,538.1650629040921,0.9433338634710878,47.21172449242933,1.0,472.50306576302035,3.3020728909012456,62.683330521538515,1.0
29,1,606.5299828793852,1.9653777500502834,66.6487639669949,1.0,0.0,0.0,0.0,0.0,480.85056289161867,0.9612986635993588,43.30336987147805,1.0
0,2,0.0,0.0,0.0,0.0,538.5028166646271,5.579694000648,54.95631972008242,1.0,483.65000486615463,7.430036630320945,64.02642275513325,1.0
1,2,597.5786212935177,2.30035772413921,60.3735260928394,1.0,536.2624455836217,3.0040056199288525,75.0,1.0,0.0,0.0,0.0,0.0
2,2,598.034736249816,0.8926640623210321,70.81870300316935,1.0,541.1682112742488,2.246721497761411,61.64333174714858,1.0,474.7389739191648,1.018788854761744,43.59026248578542,1.0
3,2,599.3209351512587,0.7279256693531784,72.90935150158467,0.12,0.0,0.0,0.0,0.0,476.49227850608196,2.363944916516987,65.0,1.0
4,2,601.5365645656582,1.182910352135594,67.95985828639414,1.0,0.0,0.0,0.0,0.0,475.32971839126816,1.8901190914691446,65.0,1.0
5,2,603.6863406156249,4.744793960606095,74.60617273743989,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,597.2242086253636,6.581048386206609,75.0,1.0,545.5306336145916,3.762672826746826,74.01004914235315,1.0,0.0,0.0,0.0,0.0
7,2,602.2622826545285,3.5220657360176952,58.243125168441985,1.0,540.9016501626212,3.30794271754914,72.83693293714403,1.0,475.8828652181462,5.258564368799634,60.7851281869096,1.0
