x,y,d center,d height,d width,d confidence,g center,g height,g width,g confidence,u1 center,u1 height,u1 width,u1 confidence,u2 center,u2 height,u2 width,u2 confidence,u3 center,u3 height,u3 width,u3 confidence
11,2,1329.5572423500976,16.673045840380123,161.1551684,1.0,1598.7299626136362,7.447893496342771,91.93244785875605,1.0,1172.6266132528067,1.123241960073874,96.5493836511004,1.0,0.0,0.0,0.0,0.0,1566.2726998182225,14.131882743698991,66.15058668420018,1.0
12,2,1329.9331527219913,10.807132830345218,161.1551684,1.0,1597.561618803859,11.664912839331397,59.61012616997646,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1561.3705734433156,9.12618069872722,61.72392854,1.0
13,2,1332.553479550977,12.968150851601115,161.1551684,1.0,1600.1931673662395,6.290650662328245,85.35282488979772,1.0,1173.673071030605,3.225409411132871,98.53353408,0.16,0.0,0.0,0.0,0.0,1563.7965908186832,9.453138506276478,65.49109894874721,1.0
14,2,1331.157452082125,11.651582735249272,161.1551684,1.0,1597.922116244446,11.48998176385196,79.28177557160589,1.0,0.0,0.0,0.0,0.0,1511.964856004,1.3196760932087885,133.39868854295202,0.8,1566.1391023515916,5.577690245718431,63.488734925261944,1.0
15,2,1330.3354241913935,15.84017558261536,161.1551684,1.0,1596.5484652383734,11.63228509724833,74.9503647275199,1.0,1168.2574122006356,1.9674962035737729,92.77623541776038,0.88,0.0,0.0,0.0,0.0,1564.9049273974265,17.050655446873744,69.36213844710403,1.0
16,2,1332.300347946926,14.405782133124765,161.1551684,1.0,1599.556653392587,15.234771557341016,89.0618218431346,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1564.987239623959,15.92111443908041,69.84688573393788,1.0
17,2,1329.2683983439258,11.84915041950691,172.0151489941108,1.0,1596.092884641899,16.39516101372852,72.85559360208231,1.0,1176.0959335738946,3.7450408969925366,98.53353408,0.64,1505.848646875698,4.55760977142854,149.67105295741658,1.0,1563.6391653476699,14.162091169052834,61.72392854,1.0
18,2,1330.0652317590143,12.64786215850851,169.7364980181575,1.0,1594.1157182073564,16.660229907860653,80.42921884893379,1.0,1172.2730756581338,1.8742118229174602,87.69990565287091,0.64,1511.7168526977205,1.5712522938674074,156.4266689,0.6,0.0,0.0,0.0,0.0
19,2,1329.8662660954253,7.9635267514965475,164.42051876921096,1.0,1595.729841371036,12.174624140332833,68.11617247062635,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1565.6045923906086,4.500646990261157,70.60300620642761,0.9
20,2,1331.7010970134347,14.627745651396687,161.1551684,1.0,1598.2067976218311,20.107627276153213,75.06439391222852,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2,1331.953079350367,17.236699870978924,161.1551684,1.0,1601.2860274588352,11.790874074751075,94.81941099957167,1.0,0.0,0.0,0.0,0.0,1505.374734489184,1.0646910710175361,118.46474082548208,0.22,1565.2205005247301,6.007094331221105,61.72392854,1.0
