timestep,pixels
40,"19,9;20,9;21,9;22,9;18,10;19,10;20,10;21,10;22,10;23,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;19,14;20,14;21,14;22,14;23,14"
41,"19,9;20,9;21,9;22,9;18,10;19,10;20,10;21,10;22,10;23,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;19,14;20,14;21,14;22,14;23,14"
42,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
43,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
44,"19,9;20,9;21,9;22,9;18,10;19,10;20,10;21,10;22,10;23,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;19,14;20,14;21,14;22,14;23,14"
45,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
46,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
47,"19,9;20,9;21,9;22,9;18,10;19,10;20,10;21,10;22,10;23,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;19,14;20,14;21,14;22,14;23,14"
48,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
49,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
50,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
51,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
52,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
53,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
54,"20,9;21,9;22,9;23,9;19,10;20,10;21,10;22,10;23,10;24,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;20,14;21,14;22,14;23,14;24,14"
55,"20,9;21,9;22,9;23,9;19,10;20,10;21,10;22,10;23,10;24,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;20,14;21,14;22,14;23,14;24,14"
56,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
57,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
58,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
59,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
60,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
