timestep,pixels
85,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
86,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
87,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
88,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
89,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
90,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
91,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
92,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
93,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
94,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
95,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
96,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
97,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
98,"1,5;2,5;1,6;2,6;3,6;1,7;2,7;3,7;4,7;1,8;2,8;3,8;2,9"
99,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
100,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
101,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
102,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
103,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
104,"2,6;3,6;2,7;3,7;4,7;2,8;3,8;4,8;5,8;2,9;3,9;4,9;3,10"
105,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
106,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
107,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
108,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
109,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
110,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
111,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
112,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
113,"1,6;2,6;1,7;2,7;3,7;1,8;2,8;3,8;4,8;1,9;2,9;3,9;2,10"
