timestep,pixels
64,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
65,"12,12;13,12;14,12;15,12;11,13;12,13;13,13;14,13;15,13;16,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;12,16;13,16;14,16;15,16;13,17;14,17;15,17"
66,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
67,"12,12;13,12;14,12;15,12;11,13;12,13;13,13;14,13;15,13;16,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;12,16;13,16;14,16;15,16;13,17;14,17;15,17"
68,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
69,"12,12;13,12;14,12;15,12;11,13;12,13;13,13;14,13;15,13;16,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;12,16;13,16;14,16;15,16;13,17;14,17;15,17"
70,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
71,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
72,"12,12;13,12;14,12;15,12;11,13;12,13;13,13;14,13;15,13;16,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;12,16;13,16;14,16;15,16;13,17;14,17;15,17"
73,"12,12;13,12;14,12;15,12;11,13;12,13;13,13;14,13;15,13;16,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;12,16;13,16;14,16;15,16;13,17;14,17;15,17"
74,"12,12;13,12;14,12;15,12;11,13;12,13;13,13;14,13;15,13;16,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;12,16;13,16;14,16;15,16;13,17;14,17;15,17"
75,"13,12;14,12;15,12;16,12;12,13;13,13;14,13;15,13;16,13;17,13;12,14;13,14;14,14;15,14;16,14;17,14;12,15;13,15;14,15;15,15;16,15;17,15;13,16;14,16;15,16;16,16;14,17;15,17;16,17"
76,"12,12;13,12;14,12;15,12;11,13;12,13;13,13;14,13;15,13;16,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;12,16;13,16;14,16;15,16;13,17;14,17;15,17"
77,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
78,"12,12;13,12;14,12;15,12;11,13;12,13;13,13;14,13;15,13;16,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;12,16;13,16;14,16;15,16;13,17;14,17;15,17"
79,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
80,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
81,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
82,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
83,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
84,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
85,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
86,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
87,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
88,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
89,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
90,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
91,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
92,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
93,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
94,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
95,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
96,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
