timestep,pixels
82,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
83,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
84,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
85,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
86,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
87,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
88,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
89,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
90,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
91,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
92,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
93,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
94,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
95,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
96,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
97,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
98,"27,18;28,18;29,18;30,18;26,19;27,19;28,19;29,19;30,19;27,20;28,20;29,20;30,20;28,21;29,21;30,21;30,22"
99,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
100,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
101,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
102,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
103,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
104,"28,19;29,19;30,19;31,19;27,20;28,20;29,20;30,20;31,20;28,21;29,21;30,21;31,21;29,22;30,22;31,22;31,23"
105,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
106,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
107,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
108,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
109,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
110,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
111,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
112,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
113,"27,19;28,19;29,19;30,19;26,20;27,20;28,20;29,20;30,20;27,21;28,21;29,21;30,21;28,22;29,22;30,22;30,23"
