time/h,Ewe/V,timestep
2.6158,3.95486,11
2.62413,3.95589,11
2.63246,3.95722,11
2.6408,3.95823,12
2.64913,3.95929,12
2.65746,3.96045,12
2.6658,3.96141,12
2.67413,3.96263,12
2.68246,3.96363,12
2.6908,3.96485,12
2.69913,3.96595,12
2.70746,3.96707,12
2.7158,3.96817,12
2.72413,3.96931,12
2.73246,3.97046,12
2.7408,3.9715,12
2.74913,3.97263,12
2.75746,3.97383,12
2.7658,3.97483,12
2.77413,3.97613,12
2.78246,3.97708,12
2.7908,3.97842,12
2.79913,3.97957,12
2.80746,3.98051,12
2.8158,3.98167,12
2.82413,3.98271,12
2.83246,3.98401,12
2.8408,3.98505,12
2.84913,3.98607,12
2.85746,3.98729,12
2.8658,3.98831,12
2.87413,3.98951,12
2.88246,3.99054,12
2.8908,3.99178,13
2.89913,3.99289,13
2.90746,3.99397,13
2.9158,3.99514,13
2.92413,3.99625,13
2.93246,3.99736,13
2.9408,3.99849,13
2.94913,3.99971,13
2.95746,4.0008,13
2.9658,4.00193,13
2.97413,4.00303,13
2.98246,4.00416,13
2.9908,4.00533,13
2.99913,4.00648,13
3.00746,4.00774,13
3.0158,4.00871,13
3.02413,4.0098,13
3.03246,4.01115,13
3.0408,4.01212,13
3.04913,4.01334,13
3.05746,4.01442,13
3.0658,4.01557,13
3.07413,4.01677,13
3.08246,4.01799,13
3.0908,4.01908,13
3.09913,4.02008,13
3.10746,4.02138,13
3.1158,4.02244,13
3.12413,4.0237,13
3.13246,4.02481,13
3.1408,4.02589,13
3.14913,4.02712,14
3.15746,4.02829,14
3.1658,4.02936,14
3.17413,4.03054,14
3.18246,4.0317,14
3.1908,4.03284,14
3.19913,4.03399,14
3.20746,4.03516,14
3.2158,4.03628,14
3.22413,4.03746,14
3.23246,4.03874,14
3.2408,4.0398,14
3.24913,4.04094,14
3.25746,4.0421,14
3.2658,4.04327,14
3.27413,4.04442,14
3.28246,4.04565,14
3.2908,4.04685,14
3.29913,4.04792,14
3.30746,4.04913,14
3.3158,4.05026,14
3.32413,4.05133,14
3.33246,4.05259,14
3.3408,4.05383,14
3.34913,4.05482,14
3.35746,4.056,14
3.3658,4.05721,14
3.37413,4.05846,14
3.38246,4.05972,14
3.3908,4.0608,14
3.39913,4.06192,14
3.40746,4.06315,15
3.4158,4.06432,15
3.42413,4.06558,15
3.43246,4.06665,15
3.4408,4.06795,15
3.44913,4.06904,15
3.45746,4.0702,15
3.4658,4.07146,15
3.47413,4.07264,15
3.48246,4.0738,15
3.4908,4.07501,15
3.49913,4.07618,15
3.50746,4.07748,15
3.5158,4.07867,15
